,Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
115,Malta*,,,,,,46.6,40.9,42.4,42.5,40.7,50.8
2,Mauritius,8.7,11.9,10.1,8.7,11.5,12.1,22.3,19.3,18.6,,
34,Mexico*,,225.2,216.0,219.0,230.2,218.3,210.1,195.7,177.7,175.4,173.1
128,Monaco,298.8,412.6,498.2,452.3,,,,,,,
57,Mongolia,98.8,114.0,118.4,140.0,177.8,202.0,215.9,214.6,212.0,234.1,266.4
116,Montenegro*,23.0,24.4,25.2,26.6,,31.7,30.0,31.1,25.9,27.0,27.8
11,Morocco,164.5,154.3,108.3,119.0,102.5,99.9,99.5,,,90.5,205.3
3,Mozambique,,6.6,6.1,3.7,3.3,3.2,2.3,,,,
68,Nepal,,,4.1,4.1,,,,,,,
129,Netherlands*,331.6,340.9,411.4,422.5,435.3,418.1,396.6,362.8,356.6,338.9,311.1
132,New Zealand,,,234.2,242.3,273.3,279.3,276.2,257.8,244.8,227.9,
35,Nicaragua,,,354.4,332.9,,,,315.1,,,
18,Nigeria,,,,,10.3,9.7,9.1,11.3,,9.1,9.5
103,Norway*,61.5,62.9,64.0,68.2,70.2,68.6,64.0,59.8,57.4,55.7,50.9
79,Oman,,,,,69.7,80.3,,,,,
36,Panama,,,,176.6,184.8,189.6,181.8,164.8,154.6,143.6,109.6
47,Paraguay,,,37.9,16.5,17.1,33.9,32.6,30.1,30.6,30.3,29.7
48,Peru,,54.8,53.0,56.5,191.6,189.9,191.1,188.7,195.2,216.6,203.0
90,Poland,,,,,1.4,1.4,1.6,1.4,1.4,1.5,1.2
117,Portugal,424.4,398.1,373.1,379.6,354.2,316.9,313.8,291.0,271.5,256.3,242.2
80,Qatar,44.1,41.4,,,,,,,,,
58,Republic of Korea*,,,,596.1,619.5,638.1,655.5,603.4,639.9,127.0,
91,Republic of Moldova*,31.4,32.2,10.5,11.0,11.1,10.6,10.2,11.6,10.2,9.2,9.3
92,Romania,43.4,41.5,40.2,42.9,43.5,43.1,41.4,56.3,56.4,79.2,81.0
93,Russian Federation,,39.8,40.2,35.8,33.0,31.6,30.0,27.7,26.8,25.9,24.4
4,Rwanda,,,,,,22.0,18.9,18.5,22.7,27.7,28.0
8,Sao Tome and Principe,0.7,0.7,,0.0,2.4,0.6,2.9,0.0,2.2,,
19,Senegal,,,2.5,2.2,1.5,4.4,2.3,2.4,,,
118,Serbia,,,16.2,16.8,17.1,16.2,14.9,14.4,13.6,13.8,13.5
20,Sierra Leone,,,,,343.8,359.2,,,,,
62,Singapore,13.9,12.5,13.5,13.8,8.5,9.1,8.2,8.4,7.8,8.5,8.8
94,Slovakia,75.7,70.7,72.3,59.3,54.9,49.9,48.3,44.6,40.9,40.1,37.0
119,Slovenia,120.5,119.3,115.2,121.0,122.9,105.0,106.5,106.2,95.7,98.3,89.2
133,Solomon Islands,,263.6,258.5,243.0,240.6,217.9,,,,,
120,Spain,,,398.3,410.3,157.9,160.9,176.8,54.3,39.3,37.1,35.6
69,Sri Lanka,113.7,107.3,,,,246.7,287.7,311.3,317.7,313.5,305.2
26,St. Kitts and Nevis,,,,,,,299.1,310.6,272.3,,
27,St. Vincent and the Grenadines,,"1,408.4","1,151.3",967.8,974.8,942.7,"1,116.7","1,197.4","1,138.5","1,016.7",
81,State of Palestine*,154.2,166.5,184.6,,,,6.7,7.1,8.3,8.2,
14,Swaziland,"1,353.5","1,332.4",,,,,,,,,
104,Sweden,728.9,747.0,804.5,847.3,898.1,915.8,926.7,936.4,946.7,915.2,839.8
130,Switzerland*,92.4,111.6,109.3,123.9,127.5,116.2,6.8,6.2,6.2,7.5,7.0
82,Syrian Arab Republic,31.2,36.0,33.9,29.5,3.3,2.7,,,,,
52,Tajikistan,,,,82.9,80.6,101.7,127.4,72.0,47.8,,
63,Thailand,,,43.1,39.2,40.3,28.4,27.7,24.7,,,
121,The former Yugoslav Rep. of Macedonia,,,,21.1,16.6,10.1,10.9,11.8,11.4,10.0,10.3
28,Trinidad and Tobago,,49.8,61.8,50.4,51.9,58.6,52.1,46.4,40.1,43.3,40.4
83,Turkey,139.5,145.3,156.1,202.5,175.4,236.5,272.4,306.2,326.3,354.5,
53,Turkmenistan,,,1.9,1.7,,,,,,,
5,Uganda,72.6,92.7,122.2,147.4,93.9,66.7,52.1,67.6,,,
95,Ukraine,11.9,11.7,14.2,13.8,12.3,10.7,11.0,8.7,,,
84,United Arab Emirates,,,17.3,15.5,,,,,,4.1,3.3
105,United Kingdom (England and Wales),861.7,965.5,"1,010.6",935.5,828.8,764.2,723.7,658.8,599.7,549.7,564.3
106,United Kingdom (Northern Ireland),65.5,63.5,63.4,66.8,65.2,87.1,89.5,80.4,79.7,70.1,59.7
107,United Kingdom (Scotland),"1,229.8","1,583.0","1,538.1","1,649.9","1,538.2","1,535.5","1,477.0","1,438.7","1,385.7","1,209.0","1,188.3"
39,United States of America,293.3,286.8,289.2,290.5,285.2,275.1,262.5,250.4,238.9,240.0,226.3
49,Uruguay,,,,18.5,19.7,22.9,25.3,15.4,15.2,13.8,12.5
85,Yemen,,,,,,,0.1,,,,
6,Zimbabwe,619.1,753.0,727.8,609.3,500.8,400.9,,,,,
